CODIGO,AÑO,DIA,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV
2401519,1968,10,0,"0,1","8,2","1,6","0,2","0,1","2,7","0,2",0,"3,9","0,7"
2401519,1968,11,0,0,11,"9,8",0,0,0,0,"2,7","11,5",7
2401519,1968,12,0,0,0,"2,2",0,"0,5",1,0,"0,1",0,"15,3"
2401519,1968,13,0,0,0,17,0,0,"0,6",0,0,0,"3,3"
2401519,1968,14,0,0,0,"0,1","1,4",0,"2,6",0,0,"19,1","1,1"
2401519,1968,15,0,0,"24,8","19,9","4,4","1,8","0,4",0,0,"1,1",0
2401519,1968,16,0,"0,9","10,8",0,0,"0,3","2,4",0,"4,5","3,6",1
2401519,1968,17,0,"0,1",0,"9,1",13,"0,3",1,0,0,0,"38,7"
2401519,1968,18,0,0,0,1,12,"3,2","0,4",0,"0,5","17,3",5
2401519,1968,19,0,"3,9",0,"0,9",3,0,"0,4",0,0,"8,1","13,8"
2401519,1968,20,"8,4","0,1",0,0,0,"0,1","0,3","0,4",0,"0,2",2
2401519,1968,21,0,0,0,"9,4",0,"2,1","0,5","0,1","0,6",0,"3,3"
2401519,1968,22,0,0,0,"0,6",0,"3,2","0,2",0,"0,2","1,8",0
2401519,1968,23,"3,6","0,2",0,"12,5","0,1","3,8",0,"0,8",0,0,"0,4"
2401519,1968,24,"0,1",0,0,"13,2","0,1","0,2",0,"0,1",0,0,"2,5"
2401519,1968,25,0,0,0,"13,7","0,6","1,3",0,"1,6",0,"6,7","1,1"
2401519,1968,26,0,0,0,"3,1","27,5",0,"2,3","0,4",0,"7,8",0
2401519,1968,27,0,"0,8",0,"1,3","0,9","3,4","3,7",0,"7,1",3,"4,2"
2401519,1968,28,"0,8","3,6",0,0,0,"2,2","0,4","2,7","12,5","2,5","0,1"
2401519,1968,29,"0,2","2,3","0,2",0,0,"0,2","0,4",0,"7,1",0,"0,2"
2401519,1968,30,"0,4",,0,"0,2","0,4","0,2","1,1",1,0,"0,2",0
2401519,1968,31,"0,4",,0,,0,,"1,5","5,2",,0,
,,,,,,,,,,,,,
2401519,1969,1,"14,6",0,0,0,"8,3",18,"0,3","0,3",0,"9,2",0
2401519,1969,2,0,"0,7","6,6","0,3","2,2","0,6","0,5","0,5",0,"13,8",0
2401519,1969,3,0,"1,3",0,0,"0,1","0,2",0,0,0,"0,4",0
2401519,1969,4,0,"23,4","0,5","0,5","0,9",0,0,"0,1",0,"10,2","5,9"
2401519,1969,5,0,"20,7",0,"0,1","0,4","0,4","0,6","0,1",0,"1,4","1,6"
2401519,1969,6,0,0,0,"11,6","0,1","2,7",0,"0,9",0,"4,7",0
2401519,1969,7,0,"1,5",0,13,0,0,5,0,0,"11,1",0
2401519,1969,8,0,0,0,1,"0,4",1,0,0,0,"2,3","5,9"
2401519,1969,9,0,0,"0,1","12,1","16,8","4,8",0,"0,4",0,0,0
2401519,1969,10,0,"0,8",0,"0,2","10,6",0,1,0,"0,1",0,0
2401519,1969,11,0,0,0,"9,7","0,2",0,0,"0,1",0,"9,1",0
2401519,1969,12,"4,9","0,5","37,5","0,9",0,0,0,0,0,"2,6",0
2401519,1969,13,0,0,0,22,"0,8",0,0,0,0,"0,5",0
2401519,1969,14,"3,9",0,0,9,"4,8",0,0,"0,8",0,0,0
2401519,1969,15,"1,4",0,0,"20,8","59,6",0,1,"0,5",0,"2,5",0
2401519,1969,16,"3,8",0,0,8,"0,4","0,8",0,"0,9",0,"0,2",0
2401519,1969,17,10,0,0,"6,2","0,6",14,0,0,0,0,0
2401519,1969,18,"17,3",0,0,"13,3","0,1",0,0,0,"4,8",1,"10,1"
2401519,1969,19,"0,7",0,0,"3,2",0,0,"1,2","1,2","0,4","0,2","4,3"
2401519,1969,20,"0,2",0,0,0,"0,3","8,2","0,8",0,0,0,"1,7"
2401519,1969,21,"0,1",0,0,0,"0,5","0,7","0,1","0,2",0,"9,5",0
2401519,1969,22,0,"0,2",0,"0,9","0,6",0,"0,5",0,0,"1,3",0
2401519,1969,23,0,0,0,0,"1,9","0,2","0,2","1,2","0,3","13,8","3,9"
2401519,1969,24,0,"12,8",0,"15,5",0,"4,3","0,5","0,6","0,1","1,4","2,5"
2401519,1969,25,0,0,"5,9","1,8",0,"0,5",0,0,"1,4","2,5",0
2401519,1969,26,"0,5","20,2",0,0,"0,8","0,1",0,"3,3",0,"0,4",0
2401519,1969,27,0,0,4,0,"2,7","0,3",0,"1,5",25,0,"0,3"
2401519,1969,28,0,0,0,1,4,0,"1,8",0,"9,2",0,"10,2"
2401519,1969,29,0,,"0,5",0,"0,5","0,4","0,4",0,"8,8","0,3",0
2401519,1969,30,0,,"0,2","0,5",0,"0,2",0,0,34,0,0
2401519,1969,31,0,,0,,0,,"0,3",0,,0,
,,,,,,,,,,,,,
2401519,1970,1,0,0,0,0,0,"0,6",0,"0,6",0,"3,4","16,2"
2401519,1970,2,0,"0,4",0,0,0,"0,3","0,9",0,"1,8","7,2",0
2401519,1970,3,"0,4",0,0,0,0,"0,6",0,"0,1","2,3","4,7","6,9"
2401519,1970,4,"0,1",0,"3,3",0,"1,6",0,"0,1","0,8",0,"10,5",0
2401519,1970,5,0,1,0,0,"4,4","3,5",0,0,0,32,"3,6"
2401519,1970,6,"0,1",0,"0,2","0,1","4,7","0,1","0,2","6,6","0,6","2,5","2,4"
2401519,1970,7,"0,5",0,"5,4",1,"5,6","2,4","7,9","0,1","1,1",0,"32,3"
2401519,1970,8,"0,2",0,0,"1,6","2,6","1,4","0,2","0,2","1,4","1,4","1,1"
2401519,1970,9,"0,8","1,4","0,1",3,"0,1","0,7","0,2",0,0,"1,2","0,1"
2401519,1970,10,"1,3","0,7",0,24,0,"2,6","0,5","0,1","0,2",0,0
2401519,1970,11,0,"0,1","0,5","0,4",2,"2,2","0,2",0,0,"0,1","1,1"
2401519,1970,12,"1,8","0,4",0,"0,3","1,3","8,5","0,1",0,0,"0,2","0,1"
2401519,1970,13,0,"7,3",0,0,0,"1,3",0,"0,4",0,0,"9,1"
2401519,1970,14,"0,8","0,8",0,0,"0,8","3,3",0,2,"0,2",0,0
2401519,1970,15,"0,1",0,0,"8,1","0,3",0,"0,3",0,"0,1",0,"1,4"
2401519,1970,16,0,"3,7",0,"24,9","2,5","0,3","0,7",0,0,0,0
2401519,1970,17,0,"3,8",0,0,"2,4",0,0,0,0,0,0
2401519,1970,18,0,0,0,0,"8,8",0,0,"0,5",0,0,"1,1"
2401519,1970,19,0,0,0,0,"2,6",0,0,"1,7",0,0,0
2401519,1970,20,"2,8","0,3",0,"5,4","27,7",0,"29,8","1,2",0,0,0
2401519,1970,21,0,0,0,0,"0,8","1,1",0,0,"4,3","0,4",0
2401519,1970,22,0,0,0,0,"2,9",0,"2,2","0,1","33,2",0,1
2401519,1970,23,0,0,0,0,"0,7",0,0,"3,4","2,9","23,1",3
2401519,1970,24,0,"7,6",0,0,"13,1","1,8",0,"0,7","0,1",2,0
2401519,1970,25,0,0,"0,4",0,1,"5,3",0,0,0,"2,5","15,5"
2401519,1970,26,0,0,"0,8","1,7","2,8","0,2",0,8,"0,3",0,0
2401519,1970,27,0,0,0,"0,1",0,0,2,"0,6","0,2","19,8",1
2401519,1970,28,0,0,0,"0,5","6,9",0,0,0,"4,8",30,0
2401519,1970,29,"1,5",,0,"0,5",0,0,0,0,"4,1","0,8","19,8"
2401519,1970,30,"0,7",,0,0,"4,1","4,2","1,3",0,"1,6",0,0
2401519,1970,31,"4,7",,"2,4",,0,,"7,3",0,,"0,5",
,,,,,,,,,,,,,
2401519,1971,1,"0,7","7,5","2,2","0,1",12,0,0,0,0,"8,7","18,5"
2401519,1971,2,0,"7,5",0,"0,6","11,3","0,2","2,3",0,"0,2","12,4","0,1"
2401519,1971,3,0,0,"17,3","5,8",0,"0,5",0,"0,2","0,8","0,4","5,4"
2401519,1971,4,"0,2","4,1","0,3",0,"2,2","0,4","1,7","1,2",0,0,"12,3"
2401519,1971,5,4,"0,3",0,"3,5","13,8","4,6","0,8","3,2",0,"14,2",0
2401519,1971,6,18,0,0,0,"2,8","0,8",0,"1,3","15,3","1,1",0
2401519,1971,7,0,0,0,0,"0,2","0,2","0,4",0,3,"0,1",0
2401519,1971,8,"2,1",0,0,"1,1",0,0,0,1,"0,2",0,"0,9"
2401519,1971,9,"0,5",0,0,0,0,0,"1,3","0,1","5,8",0,"1,7"
2401519,1971,10,0,0,0,0,0,0,"5,1","1,4","0,2",17,"0,1"
2401519,1971,11,0,0,"14,2","0,4",0,0,"0,4","0,3",0,0,0
2401519,1971,12,0,0,0,0,0,"17,7",16,"0,5",8,0,0
2401519,1971,13,"0,9",0,0,8,0,"6,7","4,6",0,0,"0,6","3,5"
2401519,1971,14,"5,3",0,0,"22,2",0,"0,3","1,2",0,0,0,"5,4"
2401519,1971,15,"0,2",0,"0,2","15,7","4,5",0,0,"2,3",5,0,0
2401519,1971,16,"22,6",11,"1,9",5,0,0,0,0,0,"0,6","1,1"
2401519,1971,17,"1,2",0,"19,5","12,9","1,8","0,6","0,3",0,0,0,"2,2"
2401519,1971,18,"0,3","1,4","0,8","2,6","3,6","0,7","0,4",0,0,"13,7","0,1"
2401519,1971,19,"4,2",0,0,"7,1","1,4",0,0,0,0,"0,6","1,7"
2401519,1971,20,"1,8","1,1","2,7","4,1","0,1",0,1,"0,3","1,8",0,"1,5"
2401519,1971,21,0,0,"0,2",0,"9,4","0,8","0,3","1,2",0,"10,2","3,2"
2401519,1971,22,0,0,0,"2,3","7,8",1,"0,2",0,0,"4,5",0
2401519,1971,23,0,0,"9,1","0,5","5,6","0,4","0,3",10,"0,1","0,3","2,8"
2401519,1971,24,"0,7",0,"1,8",0,6,0,"1,1",0,0,0,"5,5"
2401519,1971,25,"1,2",0,4,0,30,"0,8","1,2","0,6","0,1",0,"7,2"
2401519,1971,26,0,0,"0,3","4,5","0,7","3,9","2,8","0,3",0,"2,2","0,4"
2401519,1971,27,"0,3","3,9","0,2","26,5",0,"3,5",0,0,0,"23,6","8,1"
2401519,1971,28,0,"0,3","15,2","3,7",0,0,0,"0,7","0,3","0,1","3,9"
2401519,1971,29,0,,"0,1",0,"0,5",2,0,"0,4",0,0,"1,7"
2401519,1971,30,0,,"2,4","0,3","1,5",0,0,"1,4",1,"2,2",0
2401519,1971,31,0,,"26,1",,0,,"0,9","0,6",,"1,7",
,,,,,,,,,,,,,
2401519,1972,1,0,"0,7",0,"0,2","0,3","0,5","3,6",0,0,0,"0,7"
2401519,1972,2,0,0,0,0,"1,5",0,"6,2",0,0,0,"1,6"
2401519,1972,3,0,0,0,0,"14,6","1,5","0,7",0,"1,2",0,"15,1"
2401519,1972,4,0,0,0,0,0,"2,6","1,6","0,5","0,1","0,1","0,1"
2401519,1972,5,0,0,"0,5",0,"3,1","0,2","11,3","0,1","0,1",0,"8,3"
2401519,1972,6,0,"0,8",0,0,"0,5",0,"5,3",0,"4,5",0,"0,7"
2401519,1972,7,0,0,"5,1",0,0,"0,1","0,9",0,"0,3",0,0
2401519,1972,8,0,"31,8",0,0,"0,3","0,8",0,"0,5","0,2",0,"0,3"
2401519,1972,9,"1,1","2,1","0,3","14,7",0,0,0,"2,3",0,"1,1","0,1"
2401519,1972,10,0,0,"0,1","4,4","2,2","1,7","1,5",0,0,"5,2",0
